id,category_id,name,description,price,image_url,is_available,created_at
89487e82-e1f4-4a40-a1c6-19a76f8eaa75,889ac393-27f0-4b2d-ae9a-80a8e4331cd5,Panuchos de Cochinita,Panuchos yucatecos rellenos de cochinita pibil con cebolla morada,35.0,https://images.unsplash.com/photo-1565299507177-b0ac66763828?w=400,True,2026-06-17T02:13:43.041882+00:00
75270afd-e0ca-4863-9614-31042204dcba,889ac393-27f0-4b2d-ae9a-80a8e4331cd5,Salbutes,"Tortillas fritas con pollo, lechuga, tomate y cebolla morada",30.0,https://images.unsplash.com/photo-1551504734-5ee1c4a1479b?w=400,True,2026-06-17T02:13:43.041882+00:00
189adf6e-958f-4fea-bfd7-33b9a67c2958,889ac393-27f0-4b2d-ae9a-80a8e4331cd5,Huevos Motuleños,"Huevos fritos sobre tortilla con frijoles, jamón, chícharos y plátano",55.0,https://images.unsplash.com/photo-1525351484163-7529414344d8?w=400,True,2026-06-17T02:13:43.041882+00:00
1219b439-fc7b-45ca-ab13-82d9d5eef284,889ac393-27f0-4b2d-ae9a-80a8e4331cd5,Chilaquiles Rojos,"Totopos en salsa roja con crema, queso y pollo",60.0,https://images.unsplash.com/photo-1584278433313-7aa1dd8a75f0?w=400,True,2026-06-17T02:13:43.041882+00:00
48ab4f6f-a29e-4fb6-ad70-e4172cff3f4b,4d95c0e4-640d-4b03-9f82-7fd5cc03b7d1,Poc Chuc,Cerdo marinado en naranja agria asado al carbón con ensalada,95.0,https://images.unsplash.com/photo-1558030006-450675393462?w=400,True,2026-06-17T02:13:43.041882+00:00
78d4c834-7870-44d8-815f-6d2fdef1b2a2,4d95c0e4-640d-4b03-9f82-7fd5cc03b7d1,Sopa de Lima,"Sopa yucateca de lima con pollo, tortilla y aguacate",70.0,https://images.unsplash.com/photo-1547592180-85f173990554?w=400,True,2026-06-17T02:13:43.041882+00:00
0218e35b-68a4-4986-bb1b-035a4291acb7,4d95c0e4-640d-4b03-9f82-7fd5cc03b7d1,Cochinita Pibil,"Cerdo horneado en hoja de plátano con achiote, frijoles y tortillas",90.0,https://images.unsplash.com/photo-1565299585323-38d6b0865b47?w=400,True,2026-06-17T02:13:43.041882+00:00
8bc8a7bf-fc92-4333-9ad2-d5db510f96bc,4d95c0e4-640d-4b03-9f82-7fd5cc03b7d1,Relleno Negro,"Guiso yucateco con pavo, chile y especia negra, servido con arroz",105.0,https://images.unsplash.com/photo-1516684732162-798a0062be99?w=400,True,2026-06-17T02:13:43.041882+00:00
e7da73d1-a5f5-4ab9-897e-2d8eea474f19,4d95c0e4-640d-4b03-9f82-7fd5cc03b7d1,Lomitos de Valladolid,Cerdo en salsa de jitomate estilo Valladolid,88.0,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=400,True,2026-06-17T02:13:43.041882+00:00
b52aa84f-9a66-4c7f-9813-6fb9db80fc34,6015a68c-2e29-48bf-ba5f-a872c0c2a962,Papas a la Francesa,Papas fritas con sal y alioli,35.0,https://images.unsplash.com/photo-1573080496219-bb080dd4f877?w=400,True,2026-06-17T02:13:43.041882+00:00
832b0f76-79c9-4928-9cbe-8e6fbb91e9f5,6015a68c-2e29-48bf-ba5f-a872c0c2a962,Alitas BBQ,6 alitas de pollo en salsa BBQ con aderezo ranch,75.0,https://images.unsplash.com/photo-1567620832903-9fc6debc209f?w=400,True,2026-06-17T02:13:43.041882+00:00
092ad979-fc22-4faa-a645-8413e1379756,6015a68c-2e29-48bf-ba5f-a872c0c2a962,Elote Loco,"Elote con mayonesa, queso, chile y limón",25.0,https://images.unsplash.com/photo-1551754655-cd27e38d2076?w=400,True,2026-06-17T02:13:43.041882+00:00
7b50722d-8b71-4a24-9bde-702d8e12e342,6015a68c-2e29-48bf-ba5f-a872c0c2a962,Tostadas de Ceviche,3 tostadas con ceviche de camarón fresco,55.0,https://images.unsplash.com/photo-1625944230945-1b7dd3b949ab?w=400,True,2026-06-17T02:13:43.041882+00:00
