id,session_id,user_id,category_id,browse_start,browse_end,time_spent_seconds,products_viewed,added_to_cart
ee8f999e-db94-4480-8792-503981232dd3,128309d0-5b43-40f8-ad4a-4322a5fe65f8,5580df8c-b805-4090-9fc5-a01cd1c25e23,4d95c0e4-640d-4b03-9f82-7fd5cc03b7d1,2026-05-23T20:03:41.316684+00:00,2026-05-23T20:09:37.316684+00:00,356,3,False
3322b042-6da2-458a-89c1-9510f74c5f98,128309d0-5b43-40f8-ad4a-4322a5fe65f8,5580df8c-b805-4090-9fc5-a01cd1c25e23,6015a68c-2e29-48bf-ba5f-a872c0c2a962,2026-05-23T20:03:01.316684+00:00,2026-05-23T20:12:01.316684+00:00,540,4,True
debc4a31-bf04-4b2d-ac85-7d879eb337db,128309d0-5b43-40f8-ad4a-4322a5fe65f8,5580df8c-b805-4090-9fc5-a01cd1c25e23,ca45f53b-2b23-4c38-aa7b-68d13f07927a,2026-05-23T20:02:21.316684+00:00,2026-05-23T20:08:02.316684+00:00,341,1,False
79b2a444-678c-4d29-8707-977fe1a724f2,db5275d5-13a5-4388-acc7-11d427aeda99,a6d2950b-e2d1-4ef7-ab1e-3e0886a92f20,4d95c0e4-640d-4b03-9f82-7fd5cc03b7d1,2026-06-06T23:50:42.316684+00:00,2026-06-06T23:54:05.316684+00:00,203,3,False
6a8ad8e0-f23c-4e13-b549-d73f1a816ca8,949b382c-a3b5-4da1-87c2-7d2dea9e157c,a6d2950b-e2d1-4ef7-ab1e-3e0886a92f20,4d95c0e4-640d-4b03-9f82-7fd5cc03b7d1,2026-05-21T05:54:20.316684+00:00,2026-05-21T05:59:23.316684+00:00,303,1,True
11fd3cb2-be24-49f7-8626-2a0321588a16,949b382c-a3b5-4da1-87c2-7d2dea9e157c,a6d2950b-e2d1-4ef7-ab1e-3e0886a92f20,8c34c28c-cf17-4175-85aa-85244e83d737,2026-05-21T05:54:57.316684+00:00,2026-05-21T05:59:13.316684+00:00,256,8,True
b47070f9-0c69-4906-8065-5f9b7c3e7d84,04494b84-415f-4adc-a0de-07383a5b973b,1a6be97d-1781-4210-9628-17aebb888501,ca45f53b-2b23-4c38-aa7b-68d13f07927a,2026-05-28T16:42:15.316684+00:00,2026-05-28T16:47:01.316684+00:00,286,8,False
f00b8724-d014-40fa-9305-05cf8b583cad,04494b84-415f-4adc-a0de-07383a5b973b,1a6be97d-1781-4210-9628-17aebb888501,ca45f53b-2b23-4c38-aa7b-68d13f07927a,2026-05-28T16:44:46.316684+00:00,2026-05-28T16:48:03.316684+00:00,197,2,False
95e37668-0355-4c5a-b4df-f267ac05896a,b3d9af1c-540c-483a-b709-930d00d9383d,1a6be97d-1781-4210-9628-17aebb888501,4d95c0e4-640d-4b03-9f82-7fd5cc03b7d1,2026-05-21T19:54:59.316684+00:00,2026-05-21T20:04:05.316684+00:00,546,6,True
7787ea66-7824-4f70-a871-f6c22199256d,b3d9af1c-540c-483a-b709-930d00d9383d,1a6be97d-1781-4210-9628-17aebb888501,ca45f53b-2b23-4c38-aa7b-68d13f07927a,2026-05-21T19:55:34.316684+00:00,2026-05-21T19:57:01.316684+00:00,87,7,False
